DATE,HOUR.MST,CLOUDCOVER
4/30/2017,1,-1
4/30/2017,2,-1
4/30/2017,3,-1
4/30/2017,4,-1
4/30/2017,5,-1
4/30/2017,6,11.1333
4/30/2017,7,67.1833
4/30/2017,8,52.5667
4/30/2017,9,18.2833
4/30/2017,10,11.0667
4/30/2017,11,8.3
4/30/2017,12,7.1667
4/30/2017,13,7.9667
4/30/2017,14,10.4167
4/30/2017,15,10.3
4/30/2017,16,27.9667
4/30/2017,17,12.9833
4/30/2017,18,44
4/30/2017,19,16.7833
4/30/2017,20,-1
4/30/2017,21,-1
4/30/2017,22,-1
4/30/2017,23,-1
5/1/2017,0,-1
5/1/2017,1,-1
5/1/2017,2,-1
5/1/2017,3,-1
5/1/2017,4,-1
5/1/2017,5,-1
5/1/2017,6,35.0667
5/1/2017,7,41.8333
5/1/2017,8,41.4667
5/1/2017,9,38.75
5/1/2017,10,38.8
5/1/2017,11,26.15
5/1/2017,12,13.75
5/1/2017,13,16.05
5/1/2017,14,28.9833
5/1/2017,15,48.75
5/1/2017,16,46.4167
5/1/2017,17,35.1667
5/1/2017,18,18.9167
5/1/2017,19,11.9833
5/1/2017,20,-1
5/1/2017,21,-1
5/1/2017,22,-1
5/1/2017,23,-1
5/2/2017,0,-1
5/2/2017,1,-1
5/2/2017,2,-1
5/2/2017,3,-1
5/2/2017,4,-1
5/2/2017,5,-1
5/2/2017,6,17.35
5/2/2017,7,51.55
5/2/2017,8,19.7833
5/2/2017,9,22.5167
5/2/2017,10,77.9333
5/2/2017,11,97.9167
5/2/2017,12,80.8
5/2/2017,13,82.55
5/2/2017,14,92.9
5/2/2017,15,98.7
5/2/2017,16,97.6333
5/2/2017,17,95.8833
5/2/2017,18,94.0167
5/2/2017,19,45.7167
5/2/2017,20,-1
5/2/2017,21,-1
5/2/2017,22,-1
5/2/2017,23,-1
5/3/2017,0,-1
5/3/2017,1,-1
5/3/2017,2,-1
5/3/2017,3,-1
5/3/2017,4,-1
5/3/2017,5,-1
5/3/2017,6,36.0167
5/3/2017,7,85.1833
5/3/2017,8,94.5167
5/3/2017,9,96.5167
5/3/2017,10,98.0333
5/3/2017,11,95.7167
5/3/2017,12,93.9833
5/3/2017,13,50.5333
5/3/2017,14,30.8667
5/3/2017,15,39.0333
5/3/2017,16,21.6667
5/3/2017,17,16.3667
5/3/2017,18,10.15
5/3/2017,19,5.75
5/3/2017,20,-1
5/3/2017,21,-1
5/3/2017,22,-1
5/3/2017,23,-1
5/4/2017,0,-1
5/4/2017,1,-1
5/4/2017,2,-1
5/4/2017,3,-1
5/4/2017,4,-1
5/4/2017,5,-1
5/4/2017,6,4.85
5/4/2017,7,9.1667
5/4/2017,8,11.5833
5/4/2017,9,14.1333
5/4/2017,10,12.95
5/4/2017,11,14.5167
5/4/2017,12,12.8167
5/4/2017,13,13.0667
5/4/2017,14,14.5333
5/4/2017,15,14.8833
5/4/2017,16,13.7667
5/4/2017,17,12.7167
5/4/2017,18,10.0333
5/4/2017,19,4.3667
5/4/2017,20,-1
5/4/2017,21,-1
5/4/2017,22,-1
5/4/2017,23,-1
5/5/2017,0,-1
5/5/2017,1,-1
5/5/2017,2,-1
5/5/2017,3,-1
5/5/2017,4,-1
5/5/2017,5,-1
5/5/2017,6,5.5333
5/5/2017,7,10
5/5/2017,8,11.9167
5/5/2017,9,16.95
5/5/2017,10,17.8833
5/5/2017,11,13.5667
5/5/2017,12,15.05
5/5/2017,13,15.1167
5/5/2017,14,15.6
5/5/2017,15,14.6
5/5/2017,16,15.6833
5/5/2017,17,12.3833
5/5/2017,18,10.7167
5/5/2017,19,5.1333
5/5/2017,20,-1
5/5/2017,21,-1
5/5/2017,22,-1
5/5/2017,23,-1
5/6/2017,0,-1
5/6/2017,1,-1
5/6/2017,2,-1
5/6/2017,3,-1
5/6/2017,4,-1
5/6/2017,5,-1
5/6/2017,6,5.4333
5/6/2017,7,9.7167
5/6/2017,8,12.0333
5/6/2017,9,15.15
5/6/2017,10,18.35
5/6/2017,11,17.3167
5/6/2017,12,43.3333
5/6/2017,13,75.0667
5/6/2017,14,91.1
5/6/2017,15,97.9333
5/6/2017,16,74.7333
5/6/2017,17,41
5/6/2017,18,50.0167
5/6/2017,19,39.05
5/6/2017,20,-1
5/6/2017,21,-1
5/6/2017,22,-1
5/6/2017,23,-1
5/7/2017,0,-1
5/7/2017,1,-1
5/7/2017,2,-1
5/7/2017,3,-1
5/7/2017,4,-1
5/7/2017,5,-1
5/7/2017,6,61.6167
5/7/2017,7,97.7167
5/7/2017,8,98.0167
5/7/2017,9,98.3167
5/7/2017,10,99.8
5/7/2017,11,99.5
5/7/2017,12,99.1167
5/7/2017,13,91.2
5/7/2017,14,67.8667
5/7/2017,15,96.7667
5/7/2017,16,97.9167
5/7/2017,17,97.6167
5/7/2017,18,97.1833
5/7/2017,19,36
5/7/2017,20,-1
5/7/2017,21,-1
5/7/2017,22,-1
5/7/2017,23,-1
5/8/2017,0,-1
5/8/2017,1,-1
5/8/2017,2,-1
5/8/2017,3,-1
5/8/2017,4,-1
5/8/2017,5,-1
5/8/2017,6,15.05
5/8/2017,7,71.5333
5/8/2017,8,86.5667
5/8/2017,9,75.9
5/8/2017,10,96.2167
5/8/2017,11,90.25
5/8/2017,12,91.8667
5/8/2017,13,96.0833
5/8/2017,14,92.05
5/8/2017,15,97.25
5/8/2017,16,97.6167
5/8/2017,17,95.5667
5/8/2017,18,92.15
5/8/2017,19,45.5167
5/8/2017,20,-1
5/8/2017,21,-1
5/8/2017,22,-1
5/8/2017,23,-1
5/9/2017,0,-1
5/9/2017,1,-1
5/9/2017,2,-1
5/9/2017,3,-1
5/9/2017,4,-1
5/9/2017,5,-1
5/9/2017,6,51.0167
5/9/2017,7,95.4333
5/9/2017,8,75.5667
5/9/2017,9,66.4833
5/9/2017,10,71.4667
5/9/2017,11,92.95
5/9/2017,12,94.4167
5/9/2017,13,98.5333
5/9/2017,14,98.4667
5/9/2017,15,98.6
5/9/2017,16,98.7667
5/9/2017,17,97.4
5/9/2017,18,95.8
5/9/2017,19,35.6167
5/9/2017,20,-1
5/9/2017,21,-1
5/9/2017,22,-1
5/9/2017,23,-1
5/10/2017,0,-1
5/10/2017,1,-1
5/10/2017,2,-1
5/10/2017,3,-1
5/10/2017,4,-1
5/10/2017,5,-1
5/10/2017,6,59.6333
5/10/2017,7,92.3333
5/10/2017,8,95.1667
5/10/2017,9,97.1
5/10/2017,10,96.55
5/10/2017,11,91.5833
5/10/2017,12,91.6167
5/10/2017,13,93.05
5/10/2017,14,94.5833
5/10/2017,15,97.6833
5/10/2017,16,97.3833
5/10/2017,17,96.3833
5/10/2017,18,83.8833
5/10/2017,19,29.8167
5/10/2017,20,-1
5/10/2017,21,-1
5/10/2017,22,-1
5/10/2017,23,-1
5/11/2017,0,-1
5/11/2017,1,-1
5/11/2017,2,-1
5/11/2017,3,-1
5/11/2017,4,-1
5/11/2017,5,-1
5/11/2017,6,51.0333
5/11/2017,7,91.8
5/11/2017,8,96.1333
5/11/2017,9,98.4167
5/11/2017,10,80.0167
5/11/2017,11,66.3833
5/11/2017,12,46.6333
