,pred_rnn_a,pred_rnn_b,pred_rnn_c,pred_cnn_a,pred_cnn_b,pred_cnn_c,pred_as01_a,pred_as01_b,pred_as01_c,pred_as02_a,pred_as02_b,pred_as02_c,pred_lstm_a,pred_adaptive_mixture,pred_baseline,pred_gradcam_large,pred_gradcam_small,pred_gradcam_large_euclidian,pred_gradcam_small_euclidian,pred_large_adaptive_hoeffding,pred_large_adaptive_periodic
bike_total_rents,,,,,,,,,,,,,,,,,,,,23.964032649993896,624.5586020946503
bike_registered,,,,,,,,,,,,,,,,,,,,91.09699320793152,
bike_temperature,,,,,,,,,,,,,,,,,,,,33.65039277076721,248.19211435318
AbnormalHeartbeat,,,,,,,,,,,,,,,,,,,,126.93697190284728,401.18739104270935
CatsDogs,,,,,,,,,,,,,,,,,,,,216.18539118766785,2112.525352478028
Cricket,,,,,,,,,,,,,,,,,,,,16.699630975723267,183.0733940601349
EOGHorizontalSignal,,,,,,,,,,,,,,,,,,,,16.797001838684082,147.97093296051025
EthanolConcentration,,,,,,,,,,,,,,,,,,,,21.620710134506226,238.97497177124023
Mallat,,,,,,,,,,,,,,,,,,,,50.15801477432251,132.48155903816223
Phoneme,,,,,,,,,,,,,,,,,,,,11.247610807418823,131.72896480560303
PigAirwayPressure,,,,,,,,,,,,,,,,,,,,25.68026661872864,217.8792119026184
Rock,,,,,,,,,,,,,,,,,,,,25.39857029914856,461.903247833252
SNP500,,,,,,,,,,,,,,,,,,,,23.158771514892578,38.49038767814636
NASDAQ,0.3649587631225586,0.4366016387939453,0.5195510387420654,0.1428401470184326,0.1761777400970459,0.251511812210083,0.361760139465332,0.4142520427703857,0.5007157325744629,0.2164874076843261,0.2249069213867187,0.2442672252655029,0.1604957580566406,0.4678773880004883,3.3109655380249023,22.961503267288208,2.1345372200012207,25.07094168663025,3.872462034225464,21.54650378227234,249.99966430664065
DJI,0.3999619483947754,0.3745267391204834,0.5457005500793457,0.1436378955841064,0.237349271774292,0.2834992408752441,0.3619427680969238,0.3998768329620361,0.509864091873169,0.2113418579101562,0.2080037593841552,0.2171018123626709,0.1599059104919433,0.4681155681610107,3.9282500743865967,27.334512948989868,4.9163818359375,34.34962010383606,4.49591875076294,28.84437847137451,324.97441029548645
NYSE,0.3493456840515136,0.4057238101959228,0.4948303699493408,0.1923391819000244,0.2087247371673584,0.2281475067138672,0.348224401473999,0.4128148555755615,0.5348997116088867,0.2144966125488281,0.2204127311706543,0.2219264507293701,0.1460158824920654,0.4608223438262939,3.280195951461792,19.554112195968628,3.859594583511353,25.251941442489624,4.519957542419434,24.20868349075317,254.2872989177704
RUSSELL,0.3963520526885986,0.8247206211090088,0.5430202484130859,0.3076863288879394,0.5086512565612793,0.2162003517150879,1.3535254001617432,0.9799849987030028,1.49167799949646,0.9223122596740724,0.3454010486602783,0.2249627113342285,0.2104263305664062,1.6477725505828855,7.117249965667725,60.16277384757996,8.056151390075684,63.66156077384949,8.058599472045898,61.69401669502258,450.8613016605377
Energy_RH1,0.3039355278015136,0.276822566986084,0.3659005165100097,0.1303706169128418,0.1356856822967529,0.179365873336792,0.2685747146606445,0.2987411022186279,0.3957781791687011,0.2011799812316894,0.1876561641693115,0.1864345073699951,0.1086263656616211,0.3334784507751465,3.278614997863769,24.469064950943,2.953834056854248,23.22784113883972,3.02116322517395,70.4084825515747,218.7857658863068
Energy_RH2,0.2744104862213135,0.3281848430633545,0.356642484664917,0.1214990615844726,0.1350541114807129,0.1598777770996093,0.2685348987579345,0.3126215934753418,0.4208199977874756,0.1737647056579589,0.1605117321014404,0.1688387393951416,0.118027925491333,0.3647387027740478,3.0735464096069336,23.59212565422058,3.2608296871185303,24.76448702812195,3.671352863311768,71.86279535293579,230.4988079071045
Energy_T4,0.2711439132690429,0.2857270240783691,0.3550777435302734,0.1212184429168701,0.1363089084625244,0.2022440433502197,0.2638499736785888,0.3053815364837646,0.3848090171813965,0.180737018585205,0.161539077758789,0.1637904644012451,0.1256144046783447,0.3711874485015869,3.31040620803833,23.336636304855347,3.555508852005005,23.89490914344788,3.10275673866272,478.1951296329498,162.66165137290955
Energy_T5,0.2642149925231933,0.2976922988891601,0.3774642944335937,0.1158921718597412,0.138223648071289,0.1880512237548828,0.2904314994812011,0.3110878467559814,0.3939883708953857,0.2053370475769043,0.1940193176269531,0.176891803741455,0.1232705116271972,0.3946843147277832,2.737473964691162,18.66066098213196,2.591566562652588,19.511345386505127,2.5176587104797363,157.04023456573486,180.8426191806793
CloudCoverage,0.4724621772766113,0.5497567653656006,0.7678556442260742,0.2005248069763183,0.3069696426391601,0.3908078670501709,0.4665484428405761,0.5624854564666748,0.8499152660369873,0.3276000022888183,0.3178634643554687,0.3136475086212158,0.2134535312652588,0.8731226921081543,5.211994647979736,35.41768741607666,1.8512787818908687,38.20310187339783,6.352916240692139,39.38683366775513,322.0123405456543
