,pred_rnn_a,pred_rnn_b,pred_rnn_c,pred_cnn_a,pred_cnn_b,pred_cnn_c,pred_as01_a,pred_as01_b,pred_as01_c,pred_as02_a,pred_as02_b,pred_as02_c,pred_lstm_a,pred_adaptive_mixture,pred_baseline,pred_gradcam_large,pred_gradcam_small,pred_gradcam_large_euclidian,pred_gradcam_small_euclidian,pred_large_adaptive_hoeffding,pred_large_adaptive_periodic
bike_total_rents,0.4250938892364502,0.3971791267395019,0.4803018569946289,0.1622312068939209,0.1820333003997802,0.2238571643829345,0.330942153930664,0.3936703205108642,0.5078184604644775,0.2067642211914062,0.2113902568817138,0.2140052318572998,0.1513981819152832,0.4727706909179687,3.237035036087036,10.891741752624512,3.08060622215271,15.05579161643982,4.016075372695923,11.555517196655272,107.95578479766846
bike_registered,0.3241949081420898,0.353158950805664,0.4114422798156738,0.1400771141052246,0.1575798988342285,0.1911249160766601,0.3272082805633545,0.377922773361206,0.4991140365600586,0.2047967910766601,0.2101140022277832,0.2129778861999511,0.1519570350646972,0.472059965133667,3.0962040424346924,11.139175176620483,3.0850720405578613,15.426218748092651,3.895256757736206,11.828599452972412,108.18134093284608
bike_temperature,0.3730566501617431,0.4287264347076416,0.5429766178131104,0.1403896808624267,0.157792329788208,0.1917524337768554,0.3670237064361572,0.4597642421722412,0.6222074031829834,0.2427983283996582,0.2528448104858398,0.2803027629852295,0.1721062660217285,0.4720234870910644,2.642341136932373,19.08391189575196,4.603092670440674,20.16358089447021,4.766432523727417,20.158540964126587,124.40551471710204
AbnormalHeartbeat,0.3695082664489746,0.4046802520751953,0.4798038005828857,0.1596794128417968,0.1794428825378418,0.2163333892822265,0.3707647323608398,0.4387156963348388,0.5315089225769043,0.2334406375885009,0.2400825023651123,0.2427952289581298,0.1729562282562255,0.5387928485870361,3.892724990844727,13.097727060317991,3.621697425842285,16.665507078170776,4.338798999786377,60.93552374839783,120.33897542953493
CatsDogs,2.0105903148651123,2.762725353240967,5.796889781951904,0.7916033267974854,0.9113130569458008,1.1516847610473633,1.9648261070251465,2.5205743312835693,4.456789255142212,1.2848029136657717,1.2527599334716797,1.313096046447754,0.9391465187072754,2.6343979835510254,38.98418974876404,77.92078351974487,19.3306577205658,166.20620441436768,39.63188171386719,77.07106280326843,661.2157983779907
Cricket,0.1423115730285644,0.1556174755096435,0.180544376373291,0.06182861328125,0.0691344738006591,0.0838937759399414,0.1440904140472412,0.1605045795440673,0.1909496784210205,0.0900347232818603,0.0925595760345459,0.0937118530273437,0.0662238597869873,0.2066833972930908,1.1386327743530271,4.551527976989746,1.2927134037017822,5.1562700271606445,1.4220020771026611,4.960276365280151,52.16718745231629
EOGHorizontalSignal,0.1496393680572509,0.162931203842163,0.1880364418029785,0.0648250579833984,0.0729212760925293,0.0877861976623535,0.1492702960968017,0.1678469181060791,0.1998319625854492,0.0941035747528076,0.0973248481750488,0.0993306636810302,0.0693402290344238,0.2171626091003418,1.1443939208984375,5.432491779327393,1.383023023605347,5.774899005889893,1.4843595027923584,5.417985677719116,48.11634659767151
EthanolConcentration,0.2096953392028808,0.2277021408081054,0.2648468017578125,0.0905098915100097,0.1015326976776123,0.1234405040740966,0.2104077339172363,0.235846996307373,0.2812986373901367,0.1324415206909179,0.1362311840057373,0.1374833583831787,0.0977838039398193,0.3048417568206787,1.5694983005523682,6.880991458892822,1.8216865062713623,6.870736122131348,1.8272771835327148,7.131159782409668,74.45214819908142
Mallat,0.1220264434814453,0.1320781707763672,0.1534779071807861,0.0527653694152832,0.0586001873016357,0.0714669227600097,0.1217830181121826,0.1364777088165283,0.1625716686248779,0.076693058013916,0.0786280632019043,0.0795862674713134,0.0566267967224121,0.1758167743682861,0.9490857124328612,4.108224868774414,1.087207555770874,4.7041120529174805,1.21317720413208,16.123334407806396,44.02735662460327
Phoneme,0.121375560760498,0.1320698261260986,0.1529674530029297,0.0524907112121582,0.0588772296905517,0.0711967945098877,0.1223444938659668,0.1358921527862548,0.1625516414642334,0.0765137672424316,0.0783004760742187,0.0793671607971191,0.0561082363128662,0.1800901889801025,0.9439740180969238,4.222407579421997,1.1210277080535889,4.612236022949219,1.2483232021331787,4.237505674362183,43.74398970603943
PigAirwayPressure,0.2398364543914795,0.2611746788024902,0.3025712966918945,0.1035950183868408,0.1166441440582275,0.1406939029693603,0.2421591281890869,0.2710437774658203,0.325958251953125,0.1514651775360107,0.1549370288848877,0.1575880050659179,0.1117575168609619,0.3473529815673828,1.9738826751708984,8.867663145065308,2.3728981018066406,9.67935347557068,2.4834702014923096,9.519793272018433,88.8867130279541
Rock,0.3420398235321045,0.3729982376098633,0.4435763359069824,0.1472780704498291,0.1653835773468017,0.2018306255340576,0.346839427947998,0.3992791175842285,0.4785549640655517,0.2210900783538818,0.2217388153076172,0.2253212928771972,0.160724401473999,0.5025067329406738,2.510468006134033,11.432644605636597,3.0339226722717285,16.863129138946533,4.136991739273071,11.633527994155884,112.2166199684143
